Time,Light,ECG,Temp,OXI,Battery Voltage (mV)
12,346.0,26.0,0.0,3304.0,463.00,3158.0
14,346.0,26.0,0.0,3510.0,463.00,3273.0
16,345.0,26.0,0.0,3581.0,463.00,3485.0
18,344.0,26.0,0.0,3469.0,463.00,3592.0
20,345.0,26.0,0.0,3265.0,463.00,3517.0
40,346.0,26.0,0.0,3154.0,463.00,3317.0
43,346.0,26.0,0.0,3211.0,463.00,3175.0
71,346.0,26.0,0.0,3404.0,463.00,3196.0
74,345.0,26.0,0.0,3563.0,463.00,3375.0
77,345.0,26.0,0.0,3552.0,463.00,3555.0
82,345.0,26.0,0.0,3362.0,463.00,3581.0
94,346.0,26.0,0.0,3190.0,464.00,3413.0
97,346.0,26.0,0.0,3175.0,464.00,3223.0
174,346.0,26.0,0.0,3346.0,464.00,3172.0
185,346.0,26.0,0.0,3547.0,463.00,3325.0
191,345.0,26.0,0.0,3572.0,464.00,3538.0
198,345.0,26.0,0.0,3403.0,464.00,3597.0
209,345.0,26.0,0.0,3204.0,464.00,3424.0
228,346.0,26.0,0.0,3183.0,464.00,3216.0
233,346.0,26.0,0.0,3372.0,464.00,3187.0
237,345.0,26.0,0.0,3569.0,464.00,3376.0
242,345.0,26.0,0.0,3556.0,464.00,3582.0
270,345.0,26.0,0.0,3315.0,464.00,3560.0
272,346.0,26.0,0.0,3173.0,464.00,3316.0
298,346.0,26.0,0.0,3300.0,464.00,3181.0
310,346.0,26.0,0.0,3548.0,464.00,3334.0
318,344.0,26.0,0.0,3568.0,464.00,3574.0
322,344.0,26.0,0.0,3346.0,464.00,3569.0
324,346.0,26.0,0.0,3174.0,464.00,3343.0
337,347.0,26.0,0.0,3235.0,464.00,3182.0
339,346.0,26.0,0.0,3469.0,464.00,3235.0
341,345.0,26.0,0.0,3594.0,464.00,3485.0
343,344.0,26.0,0.0,3462.0,464.00,3609.0
366,345.0,26.0,0.0,3229.0,464.00,3460.0
369,346.0,26.0,0.0,3181.0,464.00,3231.0
380,346.0,26.0,0.0,3391.0,464.00,3199.0
382,345.0,26.0,0.0,3590.0,464.00,3412.0
384,345.0,26.0,0.0,3510.0,464.00,3614.0
